raw_term,suggested_concept_key,suggested_theme,short_definition,aliases,example_usage,trend_freshness,trend_durability,novelty_status,near_key,authenticity_gate,suggested_usage_vitality,authenticity_flags,already_in_raw_signals,recommendation,discovery_note,human_decision,human_notes
rizz,rizz,reseaux_sociaux,"Charisme / talent pour draguer ou captiver, souvent en ligne ou IRL léger.",avoir du rizz,"Il a trop de rizz en story, tout le monde répond.",recent,seasonal,novel_candidate,,pass_with_review,living,,no,intake_candidate,Usage oral FR courant chez 15–30 ; scène story/groupe crédible.,,
no cap,no_cap,reseaux_sociaux,« Sans mentir » / « pour de vrai » — cap = mensonge.,cap; capping,"No cap, ce plan était vraiment nul.",recent,seasonal,already_known,cap (0.727),pass_with_review,observed_irl,,no,skip_already_known,Anglicisme très ancré ; attention piège « cap » seul.,,
iykyk,iykyk,reseaux_sociaux,Connivence : « ceux qui savent savent » — exclut gentiment.,if you know you know,La ref du week-end… iykyk.,recent,seasonal,novel_candidate,,pass_with_review,observed_irl,,no,intake_candidate,"Bon angle reconnaissance sociale, pas définition scolaire.",,
ate,ate,culture_pop,Réussite stylée / performance réussie (« elle a tout cartonnné »).,ate that; she ate,La tenue ? She ate.,recent,micro_trend,novel_candidate,,pass_with_review,observed_irl,micro_trend_volatility,no,watchlist_likely,Micro-tendance EN ; vérifier si assez ancré FR avant approve.,,
slay,slay,culture_pop,"Cartonner, être au top — compliment performatif.",slay queen,T’as slay sur cette vidéo.,recent,seasonal,already_known,,pass_with_review,observed_irl,,no,skip_already_known,Très spread ; risque satiété — angles scènes > glossaire.,,
mid,mid,culture_pop,"Moyen, sans éclat — ni nul ni ouf.",c’est mid,"Le film est mid, on s’ennuie un peu.",recent,seasonal,already_known,,pass_with_review,observed_irl,,no,skip_already_known,Usage vivant FR ; bon distracteur vs « nul / ouf ».,,
touch grass,touch_grass,reseaux_sociaux,Sors un peu / reconnecte au réel — vanne anti-addiction écrans.,touch some grass,"T’es trop en ligne, go touch grass.",recent,seasonal,novel_candidate,,pass_with_review,observed_irl,,no,intake_candidate,Scène pote → pote ; éviter parent moralisateur.,,
main character,main_character,relations_lifestyle,"Se mettre au centre du récit, attitude « héros du film ».",main character energy,Elle arrive en main character energy au resto.,recent,seasonal,novel_candidate,,pass_with_review,observed_irl,,no,intake_candidate,Bon angle lifestyle ; piège : narcissisme vs fun.,,
beige flag,beige_flag,relations_lifestyle,"Trait ni red ni green : bizarre / mignon / neutre, un peu odd.",beige flags,Il range ses chaussettes par couleur… beige flag ?,recent,micro_trend,novel_candidate,,pass_with_review,observed_irl,micro_trend_volatility,no,watchlist_likely,Complète red_flag déjà live ; vérifier saturation.,,
situationship,situationship,relations_lifestyle,"Relation floue, pas officialisée, entre crush et couple.",situationships,"On est pas ensemble, c’est une situationship.",recent,seasonal,already_known,,pass_with_review,observed_irl,,no,skip_already_known,Très demandé 35–55 qui entendent le mot ; déjà proche du thème relations.,,
soft launch,soft_launch,reseaux_sociaux,"Révéler quelqu’un / un projet en douceur, sans annonce claire.",soft launch relation,Elle a soft launch son mec en story (juste les mains).,recent,seasonal,novel_candidate,,pass_with_review,living,,no,intake_candidate,Scène Instagram/story très claire.,,
hard launch,hard_launch,reseaux_sociaux,Annonce publique claire d’une relation / projet.,hard launch couple,Hard launch : photo de couple en face cam.,recent,seasonal,novel_candidate,,pass_with_review,observed_irl,,no,intake_candidate,Paire naturelle avec soft launch.,,
npc,npc,gaming,Personne sans personnalité / réactions automatiques (jeu vidéo → social).,comportement npc,Il répond comme un npc en soirée.,recent,seasonal,already_known,,pass_with_review,observed_irl,,no,skip_already_known,Pont gaming → social ; éviter mépris gratuit.,,
glaze,glaze,reseaux_sociaux,Complimenter / fanboyiser de façon excessive.,glazing,"Arrête de glaze le mec, c’est gênant.",recent,micro_trend,novel_candidate,,pass_with_review,observed_irl,micro_trend_volatility,no,watchlist_likely,Plus récent / niche — watchlist probable.,,
locked in,locked_in,culture_pop,Hyper concentré / en mode focus total.,lock in,Là je suis locked in sur mon dossier jusqu’à vendredi.,recent,seasonal,novel_candidate,,pass_with_review,observed_irl,,no,intake_candidate,Usage studytok / sport / boulot ; scène crédible.,,
