duplicate_group_id,group_size,suggested_concept_key,suggested_override_concept_key,final_recommended_concept_key,issue_types,confidence,representative_question,member_question_previews,human_approved_concept_key,resolved_concept_key,source_of_decision,human_notes
exact_050fd02d5fa6,2,fort,mot_de_passe_fort,mot_de_passe_fort,expanded_from_mot_de_passe_context;quoted_root_generic_common_word;short_concept_key_len,high,"Qu'est-ce qu'un mot de passe ""fort"" ?","Qu'est-ce qu'un mot de passe ""fort"" ? | Qu'est-ce qu'un mot de passe ""fort"" ?",,mot_de_passe_fort,final_recommended,
exact_06c78fd7cf93,2,mid,,mid,quoted_root_generic_common_word;short_concept_key_len,high,"“Mid”, ça veut dire…","“Mid”, ça veut dire… | “Mid”, ça veut dire…",,mid,final_recommended,
exact_08991363467a,2,wesh,,wesh,short_concept_key_len,high,"“Wesh”, c’est plutôt…","“Wesh”, c’est plutôt… | “Wesh”, c’est plutôt…",,wesh,final_recommended,
exact_1320e7cf671b,2,flex,,flex,short_concept_key_len,high,"“Flex”, ça veut dire…","“Flex”, ça veut dire… | “Flex”, ça veut dire…",,flex,final_recommended,
exact_1a83bd9ed883,3,wesh,,wesh,short_concept_key_len,high,"Que veut dire ""wesh"" ?","Que veut dire ""wesh"" ? | Que veut dire ""wesh"" ? | Que veut dire ""wesh"" ?",,wesh,final_recommended,
exact_20de7d8ad26c,2,simp,,simp,short_concept_key_len,high,"“Simp”, ça veut dire…","“Simp”, ça veut dire… | “Simp”, ça veut dire…",,simp,final_recommended,
exact_2277573d0a07,2,meta,,meta,short_concept_key_len,high,"“Meta”, dans un jeu, c’est…","“Meta”, dans un jeu, c’est… | “Meta”, dans un jeu, c’est…",,meta,final_recommended,
exact_4898c581f937,2,sus,,sus,short_concept_key_len,high,"“Sus”, ça veut dire…","“Sus”, ça veut dire… | “Sus”, ça veut dire…",,sus,final_recommended,
exact_4ddca2db0f33,2,boss,,boss,short_concept_key_len,high,"“Boss”, dans un jeu, c’est…","“Boss”, dans un jeu, c’est… | “Boss”, dans un jeu, c’est…",,boss,final_recommended,
exact_5fdbc04cc5ac,2,farm,,farm,short_concept_key_len,high,"“Farm”, dans un jeu, ça veut dire…","“Farm”, dans un jeu, ça veut dire… | “Farm”, dans un jeu, ça veut dire…",,farm,final_recommended,
exact_6b4d3bd320f7,2,cap,,cap,short_concept_key_len,high,"“Cap”, ça veut dire…","“Cap”, ça veut dire… | “Cap”, ça veut dire…",,cap,final_recommended,
exact_7c71706bcc02,2,lag,,lag,short_concept_key_len,high,"“Lag”, dans un jeu, c’est…","“Lag”, dans un jeu, c’est… | “Lag”, dans un jeu, c’est…",,lag,final_recommended,
exact_95b14f16a039,2,loot,,loot,short_concept_key_len,high,"“Loot”, ça veut dire…","“Loot”, ça veut dire… | “Loot”, ça veut dire…",,loot,final_recommended,
exact_ad4289f71752,2,dead,,dead,short_concept_key_len,high,"Quand quelqu’un écrit “dead”, ça veut dire…","Quand quelqu’un écrit “dead”, ça veut dire… | Quand quelqu’un écrit “dead”, ça veut dire…",,dead,final_recommended,
exact_b5907ead58f9,2,mdr,,mdr,short_concept_key_len,high,"Que veut dire ""mdr"" ?","Que veut dire ""mdr"" ? | Que veut dire ""MDR"" ?",,mdr,final_recommended,
exact_b7dfd2d39a96,2,slay,,slay,short_concept_key_len,high,"“Slay”, ça veut dire…","“Slay”, ça veut dire… | “Slay”, ça veut dire…",,slay,final_recommended,
exact_cec61c0eb007,2,lit,,lit,short_concept_key_len,high,"“Lit”, ça veut dire…","“Lit”, ça veut dire… | “Lit”, ça veut dire…",,lit,final_recommended,
exact_e8f14af61968,2,seen,,seen,short_concept_key_len,high,"“Seen”, dans une conversation, ça veut dire…","“Seen”, dans une conversation, ça veut dire… | “Seen”, dans une conversation, ça veut dire…",,seen,final_recommended,
