concept_key,duplicate_group_count,member_question_count,themes,difficulties,repetition_risk,readiness_tag
afk,1,2,culture_pop,moyen,low,single_axis_may_repeat
appli,1,2,tech,moyen;facile,low,supports_diversity
askip,1,2,vocabulaire,moyen;facile,low,supports_diversity
based,1,2,culture_pop,difficile,low,single_axis_may_repeat
block_quelquun,1,2,reseaux_sociaux,facile,low,single_axis_may_repeat
bluetooth,1,2,tech,facile;moyen,low,supports_diversity
boomer,1,2,vocabulaire,moyen,low,single_axis_may_repeat
boss,1,2,culture_pop,facile,low,single_axis_may_repeat
boujee,1,2,vocabulaire,difficile,low,single_axis_may_repeat
breadcrumbing,1,2,culture_pop,difficile,low,single_axis_may_repeat
cap,1,2,vocabulaire,difficile,low,single_axis_may_repeat
carry_une_partie,1,2,culture_pop,difficile,low,single_axis_may_repeat
cest_carre,1,2,vocabulaire,facile,low,single_axis_may_repeat
cest_clean,1,2,vocabulaire,facile,low,single_axis_may_repeat
cest_valide,1,2,vocabulaire,facile,low,single_axis_may_repeat
clickbait,1,2,culture_pop,moyen,low,single_axis_may_repeat
clutch,1,2,culture_pop,moyen,low,single_axis_may_repeat
contenu_sponsorise,1,2,reseaux_sociaux,facile,low,single_axis_may_repeat
cookie,1,2,tech,moyen;difficile,low,supports_diversity
crush,1,2,culture_pop,facile,low,single_axis_may_repeat
cursed,1,2,culture_pop,difficile,low,single_axis_may_repeat
dead,1,2,culture_pop,moyen,low,single_axis_may_repeat
deepfake,1,2,reseaux_sociaux;tech,difficile,low,supports_diversity
discord_est_principalement_utilise_pour,1,2,reseaux_sociaux,facile;moyen,low,supports_diversity
dm,1,2,reseaux_sociaux,moyen;facile,low,supports_diversity
dm_quelquun,1,2,reseaux_sociaux,facile,low,single_axis_may_repeat
double_text,1,2,culture_pop,moyen,low,single_axis_may_repeat
drama,1,2,culture_pop,facile,low,single_axis_may_repeat
farm,1,2,culture_pop,moyen,low,single_axis_may_repeat
flex,1,2,vocabulaire,moyen,low,single_axis_may_repeat
follow_quelquun,1,2,reseaux_sociaux,facile,low,single_axis_may_repeat
fomo,1,2,vocabulaire,difficile,low,single_axis_may_repeat
friendzone,1,2,culture_pop,moyen,low,single_axis_may_repeat
gg,1,2,culture_pop,facile,low,single_axis_may_repeat
ghoster,1,2,vocabulaire,moyen,low,single_axis_may_repeat
ghoster_quelquun,1,2,culture_pop,moyen,low,single_axis_may_repeat
goat,1,2,vocabulaire,moyen,low,single_axis_may_repeat
high_key,1,2,vocabulaire,moyen,low,single_axis_may_repeat
ia,1,3,tech,moyen;facile,low,supports_diversity
influenceur,1,3,reseaux_sociaux,difficile;moyen,low,supports_diversity
lag,1,2,culture_pop,facile,low,single_axis_may_repeat
level_up,1,2,culture_pop,facile,low,single_axis_may_repeat
lit,1,2,vocabulaire,moyen,low,single_axis_may_repeat
loot,1,2,culture_pop,moyen,low,single_axis_may_repeat
love_bombing,1,2,culture_pop,difficile,low,single_axis_may_repeat
low_key,1,2,vocabulaire,moyen,low,single_axis_may_repeat
manga,1,2,culture_pop,moyen;difficile,low,supports_diversity
matrixe,1,2,vocabulaire,moyen,low,single_axis_may_repeat
mdr,1,2,vocabulaire,facile,low,single_axis_may_repeat
meta,1,2,culture_pop,moyen,low,single_axis_may_repeat
mid,1,2,vocabulaire,moyen,low,single_axis_may_repeat
mot_de_passe_fort,1,2,tech,moyen,low,single_axis_may_repeat
muter_quelquun,1,2,reseaux_sociaux,difficile,low,single_axis_may_repeat
no_cap,1,2,vocabulaire,difficile,low,single_axis_may_repeat
npc,1,2,culture_pop,difficile,low,single_axis_may_repeat
oklm,1,2,vocabulaire,facile;moyen,low,supports_diversity
podcast,1,2,reseaux_sociaux;tech,moyen,low,supports_diversity
poster,1,2,reseaux_sociaux,facile,low,single_axis_may_repeat
pov,1,2,culture_pop,moyen,low,single_axis_may_repeat
qr_code,1,2,tech,moyen;facile,low,supports_diversity
que_signifie_lexpression_avoir_le_seum,1,2,vocabulaire,moyen;facile,low,supports_diversity
quelle_est_la_particularite_de_lapplication_bereal,1,2,reseaux_sociaux,moyen;facile,low,supports_diversity
quest_ce_que_chatgpt,1,3,tech,moyen;facile,low,supports_diversity
qui_est_squeezie,1,2,culture_pop,difficile;moyen,low,supports_diversity
rage_quit,1,2,culture_pop,moyen,low,single_axis_may_repeat
ratio,1,2,reseaux_sociaux,moyen,low,single_axis_may_repeat
red_flag,1,2,culture_pop,facile,low,single_axis_may_repeat
reels,1,2,reseaux_sociaux,moyen;difficile,low,supports_diversity
respawn,1,2,culture_pop,moyen,low,single_axis_may_repeat
salty,1,2,vocabulaire,moyen,low,single_axis_may_repeat
scroll,1,2,reseaux_sociaux,facile,low,single_axis_may_repeat
