duplicate_group_id,normalized_question_key,group_size,question_id,recommended_keep,status,is_active,theme,difficulty,question_preview,concept_key_suggested,suggestion_reason,suggestion_confidence,review_status,reviewer_notes
exact_00f71d1f9d24,"“un mème”, c’est…",2,88b42927-670e-4a21-9468-7bcf68d0ebce,yes,live,true,culture_pop,facile,"“Un mème”, c’est…",un_meme,quoted_root_from_canonical_question,high,pending,
exact_00f71d1f9d24,"“un mème”, c’est…",2,03bbe3e1-c691-430e-b1ab-9c823e20e7bc,no,archived,false,culture_pop,facile,"“Un mème”, c’est…",un_meme,quoted_root_from_canonical_question,high,pending,
exact_011cf282a5bc,"“un cooldown”, c’est…",2,83505e5f-33b0-470b-80bd-b2c6cf27d0d5,yes,live,true,culture_pop,difficile,"“Un cooldown”, c’est…",un_cooldown,quoted_root_from_canonical_question,high,pending,
exact_011cf282a5bc,"“un cooldown”, c’est…",2,86cd53ee-560e-468a-a419-2f2a297869c5,no,archived,false,culture_pop,difficile,"“Un cooldown”, c’est…",un_cooldown,quoted_root_from_canonical_question,high,pending,
exact_01ac20fd19ac,"“un meme template”, c’est…",2,cd0d3e5b-cac4-47e8-ba43-2a8c511a1ad2,yes,live,true,culture_pop,moyen,"“Un meme template”, c’est…",un_meme_template,quoted_root_from_canonical_question,high,pending,
exact_01ac20fd19ac,"“un meme template”, c’est…",2,e1238f50-6cb6-47ef-a70c-a39a66be02a4,no,archived,false,culture_pop,moyen,"“Un meme template”, c’est…",un_meme_template,quoted_root_from_canonical_question,high,pending,
exact_050fd02d5fa6,"qu'est-ce qu'un mot de passe ""fort"" ?",2,b3af12e9-7b9d-4774-93c1-d575af13ab47,yes,archived,false,tech,moyen,"Qu'est-ce qu'un mot de passe ""fort"" ?",fort,quoted_root_from_canonical_question,high,pending,
exact_050fd02d5fa6,"qu'est-ce qu'un mot de passe ""fort"" ?",2,d364b36e-3013-4c86-9130-3ad536cf51c8,no,archived,false,tech,moyen,"Qu'est-ce qu'un mot de passe ""fort"" ?",fort,quoted_root_from_canonical_question,high,pending,
exact_06c78fd7cf93,"“mid”, ça veut dire…",2,3f061654-5aad-47c0-8865-5bebac3c82d8,yes,live,true,vocabulaire,moyen,"“Mid”, ça veut dire…",mid,quoted_root_from_canonical_question,high,pending,
exact_06c78fd7cf93,"“mid”, ça veut dire…",2,89ce1775-3946-4d04-a64b-55fd4c6359d4,no,archived,false,vocabulaire,moyen,"“Mid”, ça veut dire…",mid,quoted_root_from_canonical_question,high,pending,
exact_08991363467a,"“wesh”, c’est plutôt…",2,496e10af-fe74-4fe5-adcd-7ccef9d71dfc,yes,live,true,vocabulaire,facile,"“Wesh”, c’est plutôt…",wesh,quoted_root_from_canonical_question,high,pending,
exact_08991363467a,"“wesh”, c’est plutôt…",2,ad02112d-1a0f-450c-9bf7-250770543d3c,no,archived,false,vocabulaire,facile,"“Wesh”, c’est plutôt…",wesh,quoted_root_from_canonical_question,high,pending,
exact_091911137007,"“un skin”, c’est…",2,415fd5a6-0e74-4c65-9603-f2ba7a767878,yes,live,true,culture_pop,facile,"“Un skin”, c’est…",un_skin,quoted_root_from_canonical_question,high,pending,
exact_091911137007,"“un skin”, c’est…",2,85073b32-bb36-4947-8320-78f7e3818508,no,archived,false,culture_pop,facile,"“Un skin”, c’est…",un_skin,quoted_root_from_canonical_question,high,pending,
