raw_term,suggested_concept_key,authenticity_gate,suggested_usage_vitality,authenticity_flags,scene_cue,example_usage,short_definition
aura farming,aura_farming,pass_with_review,observed_irl,micro_trend_volatility,no,Il fait de l'aura farming en stream.,Chercher à gagner en prestige / présence charismatique de façon un peu calculée.
cooked,cooked,pass_with_review,observed_irl,micro_trend_volatility,no,Là on est cooked.,"On est mort / c’est foutu — situation compromise, souvent humoristique."
mog,mog,pass_with_review,observed_irl,micro_trend_volatility,no,Il a mog toute la room.,"Éclipser quelqu’un (look / présence) — usage niche, souvent toxique."
delulu,delulu,pass_with_review,observed_irl,,no,C'est un peu delulu comme plan.,Un peu dans son film : vision trop optimiste ou irréaliste (souvent auto-dérision).
brainrot,brainrot,pass_with_review,living,,yes,Mon feed est full brainrot.,Saturation du cerveau par des contenus ultra-répétitifs / absurdes en ligne.
rizz,rizz,pass_with_review,living,,yes,"Il a trop de rizz en story, tout le monde répond.","Charisme / talent pour draguer ou captiver, souvent en ligne ou IRL léger."
iykyk,iykyk,pass_with_review,observed_irl,,no,La ref du week-end… iykyk.,Connivence : « ceux qui savent savent » — exclut gentiment.
ate,ate,pass_with_review,observed_irl,micro_trend_volatility,no,La tenue ? She ate.,Réussite stylée / performance réussie (« elle a tout cartonnné »).
touch grass,touch_grass,pass_with_review,observed_irl,,no,"T’es trop en ligne, go touch grass.",Sors un peu / reconnecte au réel — vanne anti-addiction écrans.
main character,main_character,pass_with_review,observed_irl,,no,Elle arrive en main character energy au resto.,"Se mettre au centre du récit, attitude « héros du film »."
beige flag,beige_flag,pass_with_review,observed_irl,micro_trend_volatility,no,Il range ses chaussettes par couleur… beige flag ?,"Trait ni red ni green : bizarre / mignon / neutre, un peu odd."
soft launch,soft_launch,pass_with_review,living,,yes,Elle a soft launch son mec en story (juste les mains).,"Révéler quelqu’un / un projet en douceur, sans annonce claire."
hard launch,hard_launch,pass_with_review,observed_irl,,no,Hard launch : photo de couple en face cam.,Annonce publique claire d’une relation / projet.
glaze,glaze,pass_with_review,observed_irl,micro_trend_volatility,no,"Arrête de glaze le mec, c’est gênant.",Complimenter / fanboyiser de façon excessive.
locked in,locked_in,pass_with_review,observed_irl,,no,Là je suis locked in sur mon dossier jusqu’à vendredi.,Hyper concentré / en mode focus total.
