raw_term,suggested_concept_key,suggested_theme,suggested_difficulty_band,short_definition,aliases,example_usage,trend_freshness,trend_durability,confidence,risk_flags,authenticity_gate,suggested_usage_vitality,novelty_status,duplicate_check_exact_concept_key_match,duplicate_check_near_existing_concept_key,duplicate_check_possible_semantic_duplicate,human_decision,human_notes
ate,ate,culture_pop,moyen,Réussite stylée / performance réussie (« elle a tout cartonnné »).,ate that; she ate,La tenue ? She ate.,recent,micro_trend,low,short_concept_key_len; micro_trend_volatility,pass_with_review,observed_irl,novel_candidate,no,,,watchlist,Micro-tendance EN — ancrage FR à confirmer.
aura farming,aura_farming,culture_pop,facile_to_moyen,Chercher à gagner en prestige / présence charismatique de façon un peu calculée.,aura farm,Il fait de l'aura farming en stream.,recent,micro_trend,medium,micro_trend_volatility,pass_with_review,observed_irl,novel_candidate,no,,,watchlist,Tendance visible mais encore mouvante; confirmer stabilité et sens avant approbation finale.
beige flag,beige_flag,relations_lifestyle,moyen,"Trait ni red ni green : bizarre / mignon / neutre, un peu odd.",beige flags,Il range ses chaussettes par couleur… beige flag ?,recent,micro_trend,medium,micro_trend_volatility,pass_with_review,observed_irl,novel_candidate,no,,,watchlist,Complète red_flag mais micro_trend — watchlist.
brainrot,brainrot,reseaux_sociaux,facile_to_moyen,Saturation du cerveau par des contenus ultra-répétitifs / absurdes en ligne.,brain rot,Mon feed est full brainrot.,recent,seasonal,medium,,pass_with_review,living,novel_candidate,no,,,approve,Concept largement compris en usage social; pertinent quiz si définition courte et neutre est validée.
cooked,cooked,culture_pop,facile_to_moyen,"On est mort / c’est foutu — situation compromise, souvent humoristique.",im cooked; we are cooked,Là on est cooked.,recent,micro_trend,medium,micro_trend_volatility,pass_with_review,observed_irl,novel_candidate,no,,,watchlist,Usage très contextuel/polysemique; garder en observation avant production de questions.
delulu,delulu,reseaux_sociaux,facile_to_moyen,Un peu dans son film : vision trop optimiste ou irréaliste (souvent auto-dérision).,delusional,C'est un peu delulu comme plan.,recent,seasonal,medium,,pass_with_review,observed_irl,novel_candidate,no,,,approve,Terme clair et fréquent dans les usages jeunes; bon candidat sous réserve de validation éditoriale de définition.
glaze,glaze,reseaux_sociaux,moyen,Complimenter / fanboyiser de façon excessive.,glazing,"Arrête de glaze le mec, c’est gênant.",recent,micro_trend,medium,micro_trend_volatility,pass_with_review,observed_irl,novel_candidate,no,,,watchlist,Niche / récent — observer avant production.
hard launch,hard_launch,reseaux_sociaux,moyen,Annonce publique claire d’une relation / projet.,hard launch couple,Hard launch : photo de couple en face cam.,recent,seasonal,medium,,pass_with_review,observed_irl,novel_candidate,no,,,approve,Complète soft launch ; lecture publique vs douce.
iykyk,iykyk,reseaux_sociaux,moyen,Connivence : « ceux qui savent savent » — exclut gentiment.,if you know you know,La ref du week-end… iykyk.,recent,seasonal,medium,,pass_with_review,observed_irl,novel_candidate,no,,,approve,Connivence sociale ; angle reconnaissance pas glossaire.
locked in,locked_in,culture_pop,moyen,Hyper concentré / en mode focus total.,lock in,Là je suis locked in sur mon dossier jusqu’à vendredi.,recent,seasonal,medium,,pass_with_review,observed_irl,novel_candidate,no,,,approve,Focus study/sport/boulot — scène crédible.
main character,main_character,relations_lifestyle,moyen,"Se mettre au centre du récit, attitude « héros du film ».",main character energy,Elle arrive en main character energy au resto.,recent,seasonal,medium,,pass_with_review,observed_irl,novel_candidate,no,,,approve,Lifestyle reconnaissable ; piège narcissisme vs fun.
mog,mog,culture_pop,facile_to_moyen,"Éclipser quelqu’un (look / présence) — usage niche, souvent toxique.",mogging,Il a mog toute la room.,recent,micro_trend,low,short_concept_key_len; micro_trend_volatility,pass_with_review,observed_irl,novel_candidate,no,,,reject,Trop niche et volatile à ce stade; risque de confusion/contextes toxiques pour un quiz généraliste.
rizz,rizz,reseaux_sociaux,facile_to_moyen,"Charisme / talent pour draguer ou captiver, souvent en ligne ou IRL léger.",avoir du rizz,"Il a trop de rizz en story, tout le monde répond.",recent,seasonal,medium,,pass_with_review,living,novel_candidate,no,,,approve,"Usage FR vivant, scène story crédible — bon candidat 35–55."
soft launch,soft_launch,reseaux_sociaux,moyen,"Révéler quelqu’un / un projet en douceur, sans annonce claire.",soft launch relation,Elle a soft launch son mec en story (juste les mains).,recent,seasonal,medium,,pass_with_review,living,novel_candidate,no,,,approve,Scène Instagram très claire ; paire soft/hard utile.
touch grass,touch_grass,reseaux_sociaux,moyen,Sors un peu / reconnecte au réel — vanne anti-addiction écrans.,touch some grass,"T’es trop en ligne, go touch grass.",recent,seasonal,medium,,pass_with_review,observed_irl,novel_candidate,no,,,approve,Vanne pote→pote anti-écran ; éviter angle moralisateur.
