duplicate_group_id,normalized_question_key,group_size,canonical_question_id,canonical_question_preview,concept_key_suggested,suggestion_reason,suggestion_confidence,review_status,reviewer_notes
exact_00f71d1f9d24,"“un mème”, c’est…",2,88b42927-670e-4a21-9468-7bcf68d0ebce,"“Un mème”, c’est…",un_meme,quoted_root_from_canonical_question,high,pending,
exact_011cf282a5bc,"“un cooldown”, c’est…",2,83505e5f-33b0-470b-80bd-b2c6cf27d0d5,"“Un cooldown”, c’est…",un_cooldown,quoted_root_from_canonical_question,high,pending,
exact_01ac20fd19ac,"“un meme template”, c’est…",2,cd0d3e5b-cac4-47e8-ba43-2a8c511a1ad2,"“Un meme template”, c’est…",un_meme_template,quoted_root_from_canonical_question,high,pending,
exact_050fd02d5fa6,"qu'est-ce qu'un mot de passe ""fort"" ?",2,b3af12e9-7b9d-4774-93c1-d575af13ab47,"Qu'est-ce qu'un mot de passe ""fort"" ?",fort,quoted_root_from_canonical_question,high,pending,
exact_06c78fd7cf93,"“mid”, ça veut dire…",2,3f061654-5aad-47c0-8865-5bebac3c82d8,"“Mid”, ça veut dire…",mid,quoted_root_from_canonical_question,high,pending,
exact_08991363467a,"“wesh”, c’est plutôt…",2,496e10af-fe74-4fe5-adcd-7ccef9d71dfc,"“Wesh”, c’est plutôt…",wesh,quoted_root_from_canonical_question,high,pending,
exact_091911137007,"“un skin”, c’est…",2,415fd5a6-0e74-4c65-9603-f2ba7a767878,"“Un skin”, c’est…",un_skin,quoted_root_from_canonical_question,high,pending,
exact_0c2693559b74,"“un fail”, c’est…",2,7ce0eacd-f586-4ce4-a478-be856a579172,"“Un fail”, c’est…",un_fail,quoted_root_from_canonical_question,high,pending,
exact_0edbf2ec5b3a,"qu'est-ce qu'un ""deepfake"" ?",2,4e07322b-6366-4531-95d7-09a0d5d85c83,"Qu'est-ce qu'un ""deepfake"" ?",deepfake,quoted_root_from_canonical_question,high,pending,
exact_0f3c94756c11,"“texting”, ça veut dire…",2,223ad5ae-5148-4066-90c0-9ed52bf80083,"“Texting”, ça veut dire…",texting,quoted_root_from_canonical_question,high,pending,
exact_11bd5b30b813,"“un compte vérifié”, c’est…",2,bee59c3e-8ef6-4c34-89c3-c6ce7801f9f3,"“Un compte vérifié”, c’est…",un_compte_verifie,quoted_root_from_canonical_question,high,pending,
exact_130a1d2b71e5,"“triggered”, ça veut dire…",2,88036ce7-a2fd-429d-836c-8256a12f5387,"“Triggered”, ça veut dire…",triggered,quoted_root_from_canonical_question,high,pending,
exact_1320e7cf671b,"“flex”, ça veut dire…",2,023882fa-4f05-4c02-81af-0891403be434,"“Flex”, ça veut dire…",flex,quoted_root_from_canonical_question,high,pending,
exact_15a6adadd129,"“pov”, ça veut dire…",2,06edab68-0d17-43e1-8692-071cd47eb7b7,"“POV”, ça veut dire…",pov,quoted_root_from_canonical_question,high,pending,
exact_1678a7abdb42,"“un ping”, c’est…",2,3a25f0e3-f836-4059-a152-d7be91ae9e78,"“Un ping”, c’est…",un_ping,quoted_root_from_canonical_question,high,pending,
exact_17ae5993aa0c,"“un remix”, c’est…",2,c0625aa6-1162-4b35-abee-da2483e87241,"“Un remix”, c’est…",un_remix,quoted_root_from_canonical_question,high,pending,
exact_1846ebdcc72c,"que veut dire ""vpn"" ?",2,c8f8b49f-3310-4e07-8ba6-6008f0ba9139,"Que veut dire ""VPN"" ?",vpn,quoted_root_from_canonical_question,high,pending,
exact_1879aa61ba16,"“clutch”, ça veut dire…",2,28e32e91-0f5c-43ed-a935-99065c611090,"“Clutch”, ça veut dire…",clutch,quoted_root_from_canonical_question,high,pending,
exact_18d3a985d2a6,"que sont les ""reels"" sur instagram ?",2,4999ffd7-cc4c-46eb-8cf0-510f4315e1b1,"Que sont les ""Reels"" sur Instagram ?",reels,quoted_root_from_canonical_question,high,pending,
exact_191fb37ce63b,"que veut dire ""askip"" ?",2,75f43e7f-1705-44a3-b890-9f78e60b9211,"Que veut dire ""askip"" ?",askip,quoted_root_from_canonical_question,high,pending,
exact_1a132bb2d4d0,"“un reaction”, c’est…",2,2e9fbff2-b362-4400-b728-95122cd5790b,"“Un reaction”, c’est…",un_reaction,quoted_root_from_canonical_question,high,pending,
exact_1a83bd9ed883,"que veut dire ""wesh"" ?",3,f07dfa67-766c-4898-9cf5-be095bd6d2e0,"Que veut dire ""wesh"" ?",wesh,quoted_root_from_canonical_question,high,pending,
exact_1f37c5b6709f,"“contenu sponsorisé”, ça veut dire…",2,191559b5-9b40-441b-9b0f-41470d805448,"“Contenu sponsorisé”, ça veut dire…",contenu_sponsorise,quoted_root_from_canonical_question,high,pending,
exact_20de7d8ad26c,"“simp”, ça veut dire…",2,8313de64-93d0-43e6-8630-e2169721be19,"“Simp”, ça veut dire…",simp,quoted_root_from_canonical_question,high,pending,
exact_2250d1df3605,"qu'est-ce qu'un ""qr code"" ?",2,0128d6e2-48b7-4125-96c5-46ff6aef2b23,"Qu'est-ce qu'un ""QR code"" ?",qr_code,quoted_root_from_canonical_question,high,pending,
exact_2277573d0a07,"“meta”, dans un jeu, c’est…",2,2f0980e2-1286-41d5-b41b-ad36b13c26d2,"“Meta”, dans un jeu, c’est…",meta,quoted_root_from_canonical_question,high,pending,
exact_251d50b01d90,"“un challenge”, sur tiktok, c’est…",2,4d2d6587-a46e-436d-80ba-27b7279144a8,"“Un challenge”, sur TikTok, c’est…",un_challenge,quoted_root_from_canonical_question,high,pending,
exact_279c2475323d,"“un influenceur”, c’est…",2,190eb2f3-bce9-4df5-8229-acadb5c66091,"“Un influenceur”, c’est…",un_influenceur,quoted_root_from_canonical_question,high,pending,
exact_2a31b3574af2,"“un album drop”, c’est…",2,973c379d-2b06-4676-be21-01f9498ba962,"“Un album drop”, c’est…",un_album_drop,quoted_root_from_canonical_question,high,pending,
exact_2a8d1fabda1a,que signifie l'expression 'avoir le seum' ?,2,c14bb5f2-47c0-4067-a74e-86011da3b12b,Que signifie l'expression 'avoir le seum' ?,que_signifie_lexpression_avoir_le_seum,normalized_duplicate_group_key,medium,pending,
exact_2d4021b2df5a,"que veut dire ""unfollow"" ?",2,cb0e54cb-acd5-4ad1-b05f-515a3e59051a,"Que veut dire ""unfollow"" ?",unfollow,quoted_root_from_canonical_question,high,pending,
exact_2dbcecb6cd8c,"“un tuto”, c’est…",2,70d06ca1-c8c8-4685-8b32-2cf890035cc8,"“Un tuto”, c’est…",un_tuto,quoted_root_from_canonical_question,high,pending,
exact_345f9a4f883f,"“un hater”, c’est…",2,c7eb9085-9685-4af7-bbd7-5a49a30dadb8,"“Un hater”, c’est…",un_hater,quoted_root_from_canonical_question,high,pending,
exact_3a1df31a1902,"“ghoster quelqu’un”, ça veut dire…",2,ee012de3-f0ac-43df-b30f-475f42b4f1c9,"“Ghoster quelqu’un”, ça veut dire…",ghoster_quelquun,quoted_root_from_canonical_question,high,pending,
exact_3a365e93c5a4,"que veut dire ""bluetooth"" ?",2,75bf07d7-16c5-46ac-8684-2e3ba93c9aa2,"Que veut dire ""bluetooth"" ?",bluetooth,quoted_root_from_canonical_question,high,pending,
exact_3ae461bfe361,"“afk”, ça veut dire…",2,37211885-9c58-4fe5-9c94-139c5918aa29,"“AFK”, ça veut dire…",afk,quoted_root_from_canonical_question,high,pending,
exact_3af3f6ecfcf0,"“side eye”, ça veut dire…",2,69dbfdb6-1fa6-45dd-bc52-04d2924af2bc,"“Side eye”, ça veut dire…",side_eye,quoted_root_from_canonical_question,high,pending,
exact_3c3758e04d97,"que veut dire ""oklm"" ?",2,635d8542-0f9f-4a2d-b5d1-8570246e763b,"Que veut dire ""OKLM"" ?",oklm,quoted_root_from_canonical_question,high,pending,
exact_3d2b6518ecd6,"“c’est validé”, ça veut dire…",2,80a20c26-6399-401f-9be4-707408886d0a,"“C’est validé”, ça veut dire…",cest_valide,quoted_root_from_canonical_question,high,pending,
exact_3f8df1569399,"qu'est-ce qu'un ""manga"" ?",2,3c8d068c-d1ca-474a-a1b5-d499d0abefd6,"Qu'est-ce qu'un ""manga"" ?",manga,quoted_root_from_canonical_question,high,pending,
exact_4228b39ed57b,"“un son”, ça veut dire…",2,4081961e-a233-47b0-abcf-24e76f0c7393,"“Un son”, ça veut dire…",un_son,quoted_root_from_canonical_question,high,pending,
exact_437f67429b86,"“cursed”, ça veut dire…",2,fce2fd7f-5f9f-4c64-9842-0ac9afa12aa3,"“Cursed”, ça veut dire…",cursed,quoted_root_from_canonical_question,high,pending,
exact_44ab23f02b91,"“un banger”, c’est…",2,8deec39a-f3cf-4ef7-85ae-6d80de8c1999,"“Un banger”, c’est…",un_banger,quoted_root_from_canonical_question,high,pending,
exact_45274a052b1b,"“low-key”, ça veut dire…",2,7b718039-8bf4-4d7a-b7b6-76440ae581c9,"“Low-key”, ça veut dire…",low_key,quoted_root_from_canonical_question,high,pending,
exact_45ff7448c3aa,"“un meme mort”, c’est…",2,9c22bc71-085d-47c8-80a8-2f7c5f928035,"“Un meme mort”, c’est…",un_meme_mort,quoted_root_from_canonical_question,high,pending,
exact_47c898134e37,"“boujee”, ça veut dire…",2,16e1a672-2f63-49b6-a0b4-fbd0aacfe1c6,"“Boujee”, ça veut dire…",boujee,quoted_root_from_canonical_question,high,pending,
exact_4898c581f937,"“sus”, ça veut dire…",2,ff2dea3b-d1d7-4e66-b043-4e05a61c4341,"“Sus”, ça veut dire…",sus,quoted_root_from_canonical_question,high,pending,
