duplicate_group_id,concept_key,category,confidence,rationale,analysis_reasons,representative_question,member_count
exact_050fd02d5fa6,mot_de_passe_fort,keep_multiple_formulations,medium_high,Multiple editorial formulations may support future concept diversity.,choices_differ;explanations_differ;heuristic_tie_ambiguous,"Qu'est-ce qu'un mot de passe ""fort"" ?",2
exact_0edbf2ec5b3a,deepfake,keep_multiple_formulations,medium_high,Multiple editorial formulations may support future concept diversity.,choices_differ;explanations_differ;heuristic_tie_ambiguous,"Qu'est-ce qu'un ""deepfake"" ?",2
exact_1846ebdcc72c,vpn,needs_manual_editorial_review,medium,Concept key flagged as risky (short_key;acronym_or_ultra_short_token).,choices_differ;explanations_differ;heuristic_tie_ambiguous,"Que veut dire ""VPN"" ?",2
exact_18d3a985d2a6,reels,keep_difficulty_variants,medium,Group contains distinct difficulty variants under same semantic prompt.,choices_differ;explanations_differ;difficulty_differ;heuristic_tie_ambiguous,"Que sont les ""Reels"" sur Instagram ?",2
exact_191fb37ce63b,askip,keep_difficulty_variants,medium,Group contains distinct difficulty variants under same semantic prompt.,choices_differ;explanations_differ;difficulty_differ;heuristic_tie_ambiguous,"Que veut dire ""askip"" ?",2
exact_1a83bd9ed883,wesh,needs_manual_editorial_review,medium,Concept key flagged as risky (short_key;acronym_or_ultra_short_token;cross_group_merge_risk).,choices_differ;explanations_differ;difficulty_differ;heuristic_tie_ambiguous,"Que veut dire ""wesh"" ?",3
exact_2250d1df3605,qr_code,keep_difficulty_variants,medium_high,Group contains distinct difficulty variants under same semantic prompt.,choices_differ;explanations_differ;difficulty_differ;heuristic_tie_ambiguous,"Qu'est-ce qu'un ""QR code"" ?",2
exact_2a8d1fabda1a,que_signifie_lexpression_avoir_le_seum,keep_difficulty_variants,medium_high,Group contains distinct difficulty variants under same semantic prompt.,choices_differ;explanations_differ;difficulty_differ;heuristic_tie_ambiguous,Que signifie l'expression 'avoir le seum' ?,2
exact_3a365e93c5a4,bluetooth,keep_difficulty_variants,medium_high,Group contains distinct difficulty variants under same semantic prompt.,choices_differ;explanations_differ;difficulty_differ;heuristic_tie_ambiguous,"Que veut dire ""bluetooth"" ?",2
exact_3c3758e04d97,oklm,needs_manual_editorial_review,medium,Concept key flagged as risky (short_key;acronym_or_ultra_short_token).,choices_differ;explanations_differ;difficulty_differ;heuristic_tie_ambiguous,"Que veut dire ""OKLM"" ?",2
exact_3f8df1569399,manga,keep_difficulty_variants,medium,Group contains distinct difficulty variants under same semantic prompt.,choices_differ;explanations_differ;difficulty_differ;heuristic_tie_ambiguous,"Qu'est-ce qu'un ""manga"" ?",2
exact_4cb42ef8b364,cookie,keep_difficulty_variants,medium_high,Group contains distinct difficulty variants under same semantic prompt.,choices_differ;explanations_differ;difficulty_differ;heuristic_tie_ambiguous,"Qu'est-ce qu'un ""cookie"" sur Internet ?",2
exact_550b94d9250c,quelle_est_la_particularite_de_lapplication_bereal,keep_difficulty_variants,medium_high,Group contains distinct difficulty variants under same semantic prompt.,choices_differ;explanations_differ;difficulty_differ;heuristic_tie_ambiguous,Quelle est la particularité de l'application BeReal ?,2
exact_5858e3b1083f,boomer,keep_multiple_formulations,medium_high,Multiple editorial formulations may support future concept diversity.,choices_differ;explanations_differ;heuristic_tie_ambiguous,"Que veut dire ""boomer"" ?",2
exact_6a57a2cb162a,telecharger,keep_multiple_formulations,medium_high,Multiple editorial formulations may support future concept diversity.,choices_differ;explanations_differ;heuristic_tie_ambiguous,"Que veut dire ""télécharger"" ?",2
exact_7b33e41ffb2e,stories,keep_context_variants,medium_high,Question phrasing includes context-focused formulations (platform/usage framing).,choices_differ;explanations_differ;heuristic_tie_ambiguous,"Que sont les ""Stories"" sur Instagram ?",2
exact_8a952e878e9c,qui_est_squeezie,keep_difficulty_variants,medium_high,Group contains distinct difficulty variants under same semantic prompt.,choices_differ;explanations_differ;difficulty_differ;heuristic_tie_ambiguous,Qui est Squeezie ?,2
exact_8bf674d2a9c3,ghoster,keep_multiple_formulations,medium_high,Multiple editorial formulations may support future concept diversity.,choices_differ;explanations_differ;heuristic_tie_ambiguous,"Que veut dire ""ghoster"" quelqu'un ?",2
exact_a0688bc37fd1,podcast,keep_multiple_formulations,medium_high,Multiple editorial formulations may support future concept diversity.,choices_differ;explanations_differ;heuristic_tie_ambiguous,"Qu'est-ce qu'un ""podcast"" ?",2
exact_b308d1cfe8c7,tagger,keep_multiple_formulations,medium_high,Multiple editorial formulations may support future concept diversity.,choices_differ;explanations_differ;heuristic_tie_ambiguous,"Que veut dire ""tagger"" quelqu'un ?",2
exact_b5907ead58f9,mdr,needs_manual_editorial_review,medium,Concept key flagged as risky (short_key;acronym_or_ultra_short_token).,choices_differ;explanations_differ;heuristic_tie_ambiguous,"Que veut dire ""mdr"" ?",2
exact_c4d8acfdbbbd,dm,needs_manual_editorial_review,medium,Concept key flagged as risky (short_key;acronym_or_ultra_short_token).,choices_differ;explanations_differ;difficulty_differ;heuristic_tie_ambiguous,"Que veut dire ""DM"" ?",2
exact_d09e56f9508e,quest_ce_que_chatgpt,keep_difficulty_variants,medium_high,Group contains distinct difficulty variants under same semantic prompt.,choices_differ;explanations_differ;difficulty_differ;heuristic_tie_ambiguous,Qu'est-ce que ChatGPT ?,3
exact_e8d1d8dec933,influenceur,keep_difficulty_variants,medium_high,Group contains distinct difficulty variants under same semantic prompt.,choices_differ;explanations_differ;difficulty_differ;heuristic_tie_ambiguous,"Qu'est-ce qu'un ""influenceur"" ?",3
exact_f79d00be24c8,scroller,keep_difficulty_variants,medium_high,Group contains distinct difficulty variants under same semantic prompt.,choices_differ;explanations_differ;difficulty_differ;heuristic_tie_ambiguous,"Que veut dire ""scroller"" ?",2
exact_f89beb337d9a,appli,keep_difficulty_variants,medium,Group contains distinct difficulty variants under same semantic prompt.,choices_differ;explanations_differ;difficulty_differ;heuristic_tie_ambiguous,"Qu'est-ce qu'une ""appli"" ?",2
