duplicate_group_id,group_size,suggested_concept_key,suggested_override_concept_key,final_recommended_concept_key,issue_types,confidence,representative_question,member_ids,member_question_previews,human_approved_concept_key,human_notes
exact_00f71d1f9d24,2,un_meme,,un_meme,,high,"“Un mème”, c’est…",88b42927-670e-4a21-9468-7bcf68d0ebce;03bbe3e1-c691-430e-b1ab-9c823e20e7bc,"“Un mème”, c’est… | “Un mème”, c’est…",,
exact_011cf282a5bc,2,un_cooldown,,un_cooldown,,high,"“Un cooldown”, c’est…",83505e5f-33b0-470b-80bd-b2c6cf27d0d5;86cd53ee-560e-468a-a419-2f2a297869c5,"“Un cooldown”, c’est… | “Un cooldown”, c’est…",,
exact_01ac20fd19ac,2,un_meme_template,,un_meme_template,,high,"“Un meme template”, c’est…",cd0d3e5b-cac4-47e8-ba43-2a8c511a1ad2;e1238f50-6cb6-47ef-a70c-a39a66be02a4,"“Un meme template”, c’est… | “Un meme template”, c’est…",,
exact_050fd02d5fa6,2,fort,mot_de_passe_fort,mot_de_passe_fort,expanded_from_mot_de_passe_context;quoted_root_generic_common_word;short_concept_key_len,high,"Qu'est-ce qu'un mot de passe ""fort"" ?",b3af12e9-7b9d-4774-93c1-d575af13ab47;d364b36e-3013-4c86-9130-3ad536cf51c8,"Qu'est-ce qu'un mot de passe ""fort"" ? | Qu'est-ce qu'un mot de passe ""fort"" ?",,
exact_06c78fd7cf93,2,mid,,mid,quoted_root_generic_common_word;short_concept_key_len,high,"“Mid”, ça veut dire…",3f061654-5aad-47c0-8865-5bebac3c82d8;89ce1775-3946-4d04-a64b-55fd4c6359d4,"“Mid”, ça veut dire… | “Mid”, ça veut dire…",,
exact_08991363467a,2,wesh,,wesh,short_concept_key_len,high,"“Wesh”, c’est plutôt…",496e10af-fe74-4fe5-adcd-7ccef9d71dfc;ad02112d-1a0f-450c-9bf7-250770543d3c,"“Wesh”, c’est plutôt… | “Wesh”, c’est plutôt…",,
exact_091911137007,2,un_skin,,un_skin,,high,"“Un skin”, c’est…",415fd5a6-0e74-4c65-9603-f2ba7a767878;85073b32-bb36-4947-8320-78f7e3818508,"“Un skin”, c’est… | “Un skin”, c’est…",,
exact_0c2693559b74,2,un_fail,,un_fail,,high,"“Un fail”, c’est…",7ce0eacd-f586-4ce4-a478-be856a579172;7f716b69-5755-4499-a8d0-460885a45784,"“Un fail”, c’est… | “Un fail”, c’est…",,
exact_0edbf2ec5b3a,2,deepfake,,deepfake,,high,"Qu'est-ce qu'un ""deepfake"" ?",4e07322b-6366-4531-95d7-09a0d5d85c83;3ac8e93e-d741-4c8e-8d2e-7c11b838873f,"Qu'est-ce qu'un ""deepfake"" ? | Qu'est-ce qu'un ""deepfake"" ?",,
exact_0f3c94756c11,2,texting,,texting,,high,"“Texting”, ça veut dire…",223ad5ae-5148-4066-90c0-9ed52bf80083;23d3438d-e8e4-4f32-9676-f5ab6d1976fc,"“Texting”, ça veut dire… | “Texting”, ça veut dire…",,
exact_11bd5b30b813,2,un_compte_verifie,,un_compte_verifie,,high,"“Un compte vérifié”, c’est…",bee59c3e-8ef6-4c34-89c3-c6ce7801f9f3;882b1af2-61a2-4ba7-be57-bbd2050cd092,"“Un compte vérifié”, c’est… | “Un compte vérifié”, c’est…",,
exact_130a1d2b71e5,2,triggered,,triggered,,high,"“Triggered”, ça veut dire…",88036ce7-a2fd-429d-836c-8256a12f5387;c9cfdd7b-c02e-4477-9b5d-4baa7de7bd4b,"“Triggered”, ça veut dire… | “Triggered”, ça veut dire…",,
exact_1320e7cf671b,2,flex,,flex,short_concept_key_len,high,"“Flex”, ça veut dire…",023882fa-4f05-4c02-81af-0891403be434;39b8869a-b716-474b-afe3-493181562886,"“Flex”, ça veut dire… | “Flex”, ça veut dire…",,
exact_15a6adadd129,2,pov,,pov,,high,"“POV”, ça veut dire…",06edab68-0d17-43e1-8692-071cd47eb7b7;11493979-3600-47e0-9d8c-bca795bf6883,"“POV”, ça veut dire… | “POV”, ça veut dire…",,
exact_1678a7abdb42,2,un_ping,,un_ping,,high,"“Un ping”, c’est…",3a25f0e3-f836-4059-a152-d7be91ae9e78;02314edb-17d6-4ce9-b8d4-06d3b2d31cef,"“Un ping”, c’est… | “Un ping”, c’est…",,
exact_17ae5993aa0c,2,un_remix,,un_remix,,high,"“Un remix”, c’est…",c0625aa6-1162-4b35-abee-da2483e87241;d2e36408-6d28-4e3d-bf93-3087226b5032,"“Un remix”, c’est… | “Un remix”, c’est…",,
exact_1846ebdcc72c,2,vpn,,vpn,,high,"Que veut dire ""VPN"" ?",c8f8b49f-3310-4e07-8ba6-6008f0ba9139;c30ca469-4b6f-44e1-8f8e-d1b7fcbebafa,"Que veut dire ""VPN"" ? | Que veut dire ""VPN"" ?",,
exact_1879aa61ba16,2,clutch,,clutch,,high,"“Clutch”, ça veut dire…",28e32e91-0f5c-43ed-a935-99065c611090;c507662c-d78e-4f9f-931f-817a8d048172,"“Clutch”, ça veut dire… | “Clutch”, ça veut dire…",,
exact_18d3a985d2a6,2,reels,,reels,,high,"Que sont les ""Reels"" sur Instagram ?",4999ffd7-cc4c-46eb-8cf0-510f4315e1b1;01694b11-7604-4b75-a39a-462a6d035794,"Que sont les ""Reels"" sur Instagram ? | Que sont les ""reels"" sur Instagram ?",,
exact_191fb37ce63b,2,askip,,askip,,high,"Que veut dire ""askip"" ?",75f43e7f-1705-44a3-b890-9f78e60b9211;6e46bfbb-7158-474d-87e6-470e3efc9f67,"Que veut dire ""askip"" ? | Que veut dire ""askip"" ?",,
exact_1a132bb2d4d0,2,un_reaction,,un_reaction,,high,"“Un reaction”, c’est…",2e9fbff2-b362-4400-b728-95122cd5790b;b82a4fd5-5aae-4f94-9382-cf6811714a15,"“Un reaction”, c’est… | “Un reaction”, c’est…",,
exact_1a83bd9ed883,3,wesh,,wesh,short_concept_key_len,high,"Que veut dire ""wesh"" ?",f07dfa67-766c-4898-9cf5-be095bd6d2e0;9929f190-6288-41c3-9249-f48296bcd8a8;e9bd5a20-87b3-4e1d-aebc-3063418b8fa4,"Que veut dire ""wesh"" ? | Que veut dire ""wesh"" ? | Que veut dire ""wesh"" ?",,
exact_1f37c5b6709f,2,contenu_sponsorise,,contenu_sponsorise,,high,"“Contenu sponsorisé”, ça veut dire…",191559b5-9b40-441b-9b0f-41470d805448;5f081042-cc27-44e0-9db0-eec4bae557bb,"“Contenu sponsorisé”, ça veut dire… | “Contenu sponsorisé”, ça veut dire…",,
exact_20de7d8ad26c,2,simp,,simp,short_concept_key_len,high,"“Simp”, ça veut dire…",8313de64-93d0-43e6-8630-e2169721be19;cd48d070-da41-4d0f-9175-97146b3874b5,"“Simp”, ça veut dire… | “Simp”, ça veut dire…",,
exact_2250d1df3605,2,qr_code,,qr_code,,high,"Qu'est-ce qu'un ""QR code"" ?",0128d6e2-48b7-4125-96c5-46ff6aef2b23;404ffbf7-9262-44f6-8784-477be3cae3ed,"Qu'est-ce qu'un ""QR code"" ? | Qu'est-ce qu'un ""QR code"" ?",,
exact_2277573d0a07,2,meta,,meta,short_concept_key_len,high,"“Meta”, dans un jeu, c’est…",2f0980e2-1286-41d5-b41b-ad36b13c26d2;3a3fa07a-52d1-48f2-bfb4-cdf384f77627,"“Meta”, dans un jeu, c’est… | “Meta”, dans un jeu, c’est…",,
exact_251d50b01d90,2,un_challenge,,un_challenge,,high,"“Un challenge”, sur TikTok, c’est…",4d2d6587-a46e-436d-80ba-27b7279144a8;d0d0cb78-96e6-442b-be12-d21eb992b007,"“Un challenge”, sur TikTok, c’est… | “Un challenge”, sur TikTok, c’est…",,
exact_279c2475323d,2,un_influenceur,,un_influenceur,,high,"“Un influenceur”, c’est…",190eb2f3-bce9-4df5-8229-acadb5c66091;04d9e2c9-0bf4-456a-931b-e703a3326cd3,"“Un influenceur”, c’est… | “Un influenceur”, c’est…",,
exact_2a31b3574af2,2,un_album_drop,,un_album_drop,,high,"“Un album drop”, c’est…",973c379d-2b06-4676-be21-01f9498ba962;5cdde004-cab4-4094-b44a-460e4734741d,"“Un album drop”, c’est… | “Un album drop”, c’est…",,
exact_2a8d1fabda1a,2,que_signifie_lexpression_avoir_le_seum,,que_signifie_lexpression_avoir_le_seum,,medium,Que signifie l'expression 'avoir le seum' ?,c14bb5f2-47c0-4067-a74e-86011da3b12b;1bb671b1-0b7e-4474-9128-5594fcde3340,Que signifie l'expression 'avoir le seum' ? | Que signifie l'expression 'avoir le seum' ?,,
exact_2d4021b2df5a,2,unfollow,,unfollow,,high,"Que veut dire ""unfollow"" ?",cb0e54cb-acd5-4ad1-b05f-515a3e59051a;403251de-3624-4fdb-ac1f-3a1af46297d4,"Que veut dire ""unfollow"" ? | Que veut dire ""unfollow"" ?",,
exact_2dbcecb6cd8c,2,un_tuto,,un_tuto,,high,"“Un tuto”, c’est…",70d06ca1-c8c8-4685-8b32-2cf890035cc8;f3c43b57-8e46-4a1f-aa5e-2779352e09af,"“Un tuto”, c’est… | “Un tuto”, c’est…",,
exact_345f9a4f883f,2,un_hater,,un_hater,,high,"“Un hater”, c’est…",c7eb9085-9685-4af7-bbd7-5a49a30dadb8;77a067b9-df8e-4620-acbe-9f07256fe547,"“Un hater”, c’est… | “Un hater”, c’est…",,
exact_3a1df31a1902,2,ghoster_quelquun,,ghoster_quelquun,,high,"“Ghoster quelqu’un”, ça veut dire…",ee012de3-f0ac-43df-b30f-475f42b4f1c9;e31184ec-c57d-450c-8952-cb4493ba8ead,"“Ghoster quelqu’un”, ça veut dire… | “Ghoster quelqu’un”, ça veut dire…",,
exact_3a365e93c5a4,2,bluetooth,,bluetooth,,high,"Que veut dire ""bluetooth"" ?",75bf07d7-16c5-46ac-8684-2e3ba93c9aa2;361f9dcd-e82c-439b-9225-39b8fcb182c6,"Que veut dire ""bluetooth"" ? | Que veut dire ""Bluetooth"" ?",,
exact_3ae461bfe361,2,afk,,afk,,high,"“AFK”, ça veut dire…",37211885-9c58-4fe5-9c94-139c5918aa29;ee79ba2c-fa6e-4b38-9f91-7197b1b8002d,"“AFK”, ça veut dire… | “AFK”, ça veut dire…",,
exact_3af3f6ecfcf0,2,side_eye,,side_eye,,high,"“Side eye”, ça veut dire…",69dbfdb6-1fa6-45dd-bc52-04d2924af2bc;75a003fb-4684-47d1-86e3-1682af19ebac,"“Side eye”, ça veut dire… | “Side eye”, ça veut dire…",,
exact_3c3758e04d97,2,oklm,,oklm,,high,"Que veut dire ""OKLM"" ?",635d8542-0f9f-4a2d-b5d1-8570246e763b;3fcfec25-e3b8-4492-95c8-831ee724070d,"Que veut dire ""OKLM"" ? | Que veut dire ""OKLM"" ?",,
