concept_key,draft_count,draft_definition_count,draft_contextual_count,dormant_variant_group_count,dormant_variant_question_count,saturation_index,saturation_risk_band,review_note
brainrot,2,1,1,0,0,6,watch,monitor concept volume in next draft round
delulu,2,1,1,0,0,6,watch,monitor concept volume in next draft round
appli,0,0,0,1,1,3,low,no immediate saturation risk
askip,0,0,0,1,1,3,low,no immediate saturation risk
bluetooth,0,0,0,1,1,3,low,no immediate saturation risk
boomer,0,0,0,1,1,3,low,no immediate saturation risk
cookie,0,0,0,1,1,3,low,no immediate saturation risk
deepfake,0,0,0,1,1,3,low,no immediate saturation risk
dm,0,0,0,1,1,3,low,no immediate saturation risk
ghoster,0,0,0,1,1,3,low,no immediate saturation risk
influenceur,0,0,0,1,1,3,low,no immediate saturation risk
manga,0,0,0,1,1,3,low,no immediate saturation risk
mdr,0,0,0,1,1,3,low,no immediate saturation risk
mot_de_passe_fort,0,0,0,1,1,3,low,no immediate saturation risk
oklm,0,0,0,1,1,3,low,no immediate saturation risk
podcast,0,0,0,1,1,3,low,no immediate saturation risk
qr_code,0,0,0,1,1,3,low,no immediate saturation risk
que_signifie_lexpression_avoir_le_seum,0,0,0,1,1,3,low,no immediate saturation risk
quelle_est_la_particularite_de_lapplication_bereal,0,0,0,1,1,3,low,no immediate saturation risk
quest_ce_que_chatgpt,0,0,0,1,1,3,low,no immediate saturation risk
qui_est_squeezie,0,0,0,1,1,3,low,no immediate saturation risk
reels,0,0,0,1,1,3,low,no immediate saturation risk
scroller,0,0,0,1,1,3,low,no immediate saturation risk
stories,0,0,0,1,1,3,low,no immediate saturation risk
tagger,0,0,0,1,1,3,low,no immediate saturation risk
telecharger,0,0,0,1,1,3,low,no immediate saturation risk
vpn,0,0,0,1,1,3,low,no immediate saturation risk
wesh,0,0,0,1,1,3,low,no immediate saturation risk
