duplicate_group_id,question_id,concept_key_suggested,suggestion_reason,question_preview,issue_types,suggested_override_concept_key,override_reason
exact_050fd02d5fa6,b3af12e9-7b9d-4774-93c1-d575af13ab47,fort,quoted_root_from_canonical_question,"Qu'est-ce qu'un mot de passe ""fort"" ?",short_concept_key_len;quoted_root_generic_common_word;expanded_from_mot_de_passe_context,mot_de_passe_fort,mot_de_passe_context_expand_from_descriptor
exact_050fd02d5fa6,d364b36e-3013-4c86-9130-3ad536cf51c8,fort,quoted_root_from_canonical_question,"Qu'est-ce qu'un mot de passe ""fort"" ?",short_concept_key_len;quoted_root_generic_common_word;expanded_from_mot_de_passe_context,mot_de_passe_fort,mot_de_passe_context_expand_from_descriptor
exact_06c78fd7cf93,3f061654-5aad-47c0-8865-5bebac3c82d8,mid,quoted_root_from_canonical_question,"“Mid”, ça veut dire…",short_concept_key_len;quoted_root_generic_common_word,,
exact_06c78fd7cf93,89ce1775-3946-4d04-a64b-55fd4c6359d4,mid,quoted_root_from_canonical_question,"“Mid”, ça veut dire…",short_concept_key_len;quoted_root_generic_common_word,,
exact_08991363467a,496e10af-fe74-4fe5-adcd-7ccef9d71dfc,wesh,quoted_root_from_canonical_question,"“Wesh”, c’est plutôt…",short_concept_key_len,,
exact_08991363467a,ad02112d-1a0f-450c-9bf7-250770543d3c,wesh,quoted_root_from_canonical_question,"“Wesh”, c’est plutôt…",short_concept_key_len,,
exact_1320e7cf671b,023882fa-4f05-4c02-81af-0891403be434,flex,quoted_root_from_canonical_question,"“Flex”, ça veut dire…",short_concept_key_len,,
exact_1320e7cf671b,39b8869a-b716-474b-afe3-493181562886,flex,quoted_root_from_canonical_question,"“Flex”, ça veut dire…",short_concept_key_len,,
exact_1a83bd9ed883,9929f190-6288-41c3-9249-f48296bcd8a8,wesh,quoted_root_from_canonical_question,"Que veut dire ""wesh"" ?",short_concept_key_len,,
exact_1a83bd9ed883,e9bd5a20-87b3-4e1d-aebc-3063418b8fa4,wesh,quoted_root_from_canonical_question,"Que veut dire ""wesh"" ?",short_concept_key_len,,
